Date,Trial_ID,Observer,Water_temperature_holding_tank,Tank,Assay_temperature,Sample,Starting_time,Time_to_death,Exclude,Notes
26/06/2025,TDT_SL_002,PP/LP/AB,16.5,6,31,B2,10:23:08 AM,12:15:35 PM,no,NA
26/06/2025,TDT_SL_002,PP/LP/AB,16.5,6,31,B2,10:23:08 AM,1:16:20 PM,no,NA
26/06/2025,TDT_SL_002,PP/LP/AB,16.5,6,31,B2,10:23:08 AM,1:56:00 PM,no,NA
26/06/2025,TDT_SL_002,PP/LP/AB,16.5,6,31,B2,10:23:08 AM,4:40:25 PM,no,NA
26/06/2025,TDT_SL_002,PP/LP/AB,16.5,6,31,C2,10:23:08 AM,11:26:12 AM,no,NA
26/06/2025,TDT_SL_002,PP/LP/AB,16.5,6,31,C2,10:23:08 AM,1:30:25 PM,no,NA
26/06/2025,TDT_SL_002,PP/LP/AB,16.5,6,31,C2,10:23:08 AM,2:18:16 PM,no,NA
26/06/2025,TDT_SL_002,PP/LP/AB,16.5,6,31,C2,10:23:08 AM,2:18:55 PM,no,NA
26/06/2025,TDT_SL_002,PP/LP/AB,16.5,6,31,C2,10:23:08 AM,3:10:11 PM,no,NA
26/06/2025,TDT_SL_002,PP/LP/AB,16.5,4,31.5,A,10:39:20 AM,11:20:15 AM,no,NA
26/06/2025,TDT_SL_002,PP/LP/AB,16.5,4,31.5,A,10:39:20 AM,11:34:25 AM,no,NA
26/06/2025,TDT_SL_002,PP/LP/AB,16.5,4,31.5,A,10:39:20 AM,12:26:09 PM,no,NA
26/06/2025,TDT_SL_002,PP/LP/AB,16.5,4,31.5,A,10:39:20 AM,1:46:20 PM,no,NA
26/06/2025,TDT_SL_002,PP/LP/AB,16.5,4,31.5,A,10:39:20 AM,NA,yes,The time to death for one individual was not recorded.
26/06/2025,TDT_SL_002,PP/LP/AB,16.5,4,31.5,B,10:39:20 AM,10:46:50 AM,no,NA
26/06/2025,TDT_SL_002,PP/LP/AB,16.5,4,31.5,B,10:39:20 AM,10:48:18,no,NA
26/06/2025,TDT_SL_002,PP/LP/AB,16.5,4,31.5,B,10:39:20 AM,11:06:39,no,NA
26/06/2025,TDT_SL_002,PP/LP/AB,16.5,4,31.5,B,10:39:20 AM,12:26:24,no,NA
